1,0,8,年,0,2,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/02/11,"19,548,924","266,465,211",13.60,13.65,13.60,13.65,+0.05,"4,960"
108/02/12,"14,182,516","193,299,075",13.65,13.70,13.55,13.65, 0.00,"4,070"
108/02/13,"13,126,750","178,871,442",13.65,13.70,13.60,13.60,-0.05,"4,712"
108/02/14,"12,643,049","172,532,775",13.60,13.70,13.60,13.65,+0.05,"2,962"
108/02/15,"16,058,317","219,881,590",13.70,13.75,13.65,13.70,+0.05,"4,441"
108/02/18,"15,071,610","207,528,593",13.75,13.80,13.70,13.80,+0.10,"3,662"
108/02/19,"12,815,202","176,772,114",13.80,13.85,13.75,13.80, 0.00,"3,263"
108/02/20,"20,542,789","285,060,090",13.85,13.95,13.80,13.90,+0.10,"4,665"
108/02/21,"15,933,062","220,926,082",13.90,13.90,13.80,13.90, 0.00,"3,541"
108/02/22,"15,793,382","219,878,498",13.90,13.95,13.85,13.95,+0.05,"3,159"
108/02/25,"10,419,554","145,212,106",13.95,14.00,13.90,14.00,+0.05,"3,195"
108/02/26,"17,803,740","248,464,110",14.00,14.00,13.90,13.95,-0.05,"3,708"
108/02/27,"22,598,000","315,044,800",13.95,14.00,13.90,13.95, 0.00,"4,389"
