1,0,8,年,0,3,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/03/04,"25,720,953","356,959,342",13.85,14.00,13.80,13.95, 0.00,"5,562"
108/03/05,"6,879,772","95,648,658",13.90,13.95,13.85,13.90,-0.05,"2,434"
108/03/06,"8,666,986","120,946,872",13.90,14.00,13.90,14.00,+0.10,"2,689"
108/03/07,"12,622,216","176,081,224",14.00,14.00,13.90,13.95,-0.05,"3,184"
108/03/08,"15,404,553","213,580,625",13.90,13.90,13.85,13.85,-0.10,"5,449"
108/03/11,"74,351,050","1,018,704,158",13.85,13.85,13.65,13.65,-0.20,"20,183"
108/03/12,"26,445,255","363,375,851",13.70,13.80,13.70,13.75,+0.10,"5,891"
108/03/13,"17,561,279","241,861,679",13.75,13.85,13.75,13.75, 0.00,"4,790"
108/03/14,"12,056,917","165,916,634",13.75,13.80,13.75,13.75, 0.00,"2,784"
108/03/15,"18,557,765","256,571,743",13.75,13.85,13.75,13.85,+0.10,"2,865"
108/03/18,"14,749,864","204,938,899",13.90,13.95,13.85,13.90,+0.05,"3,577"
108/03/19,"22,997,812","321,954,218",13.90,14.05,13.90,14.00,+0.10,"4,474"
108/03/20,"23,055,905","322,283,187",14.05,14.05,13.90,14.00, 0.00,"3,943"
108/03/21,"11,764,480","164,588,170",14.00,14.05,13.95,14.00, 0.00,"2,575"
108/03/22,"37,906,716","527,400,104",14.05,14.10,13.80,13.85,-0.15,"7,673"
108/03/25,"25,203,026","347,771,516",13.75,13.85,13.75,13.85, 0.00,"5,648"
108/03/26,"18,734,263","261,911,182",13.90,14.00,13.85,14.00,+0.15,"3,272"
108/03/27,"15,355,707","214,584,848",14.05,14.05,13.90,13.95,-0.05,"3,701"
108/03/28,"9,234,935","128,820,548",13.95,14.00,13.90,13.95, 0.00,"1,851"
108/03/29,"24,524,938","344,005,617",14.00,14.05,13.95,14.05,+0.10,"4,446"
