1,0,8,年,0,5,月, ,2,8,8,7, ,台,新,金, , , , , , , , , , , ,各,日,成,交,資,訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/05/02,"21,413,215","300,670,893",14.00,14.10,14.00,14.10,+0.10,"5,774"
108/05/03,"23,817,896","333,337,966",14.10,14.10,13.95,14.00,-0.10,"5,518"
108/05/06,"29,361,032","407,826,924",14.00,14.00,13.80,13.85,-0.15,"8,684"
108/05/07,"10,325,609","143,786,976",13.85,13.95,13.85,13.95,+0.10,"2,941"
108/05/08,"15,480,454","216,072,593",13.90,14.05,13.85,14.05,+0.10,"4,639"
108/05/09,"21,875,265","304,654,600",14.00,14.05,13.85,13.85,-0.20,"5,928"
108/05/10,"13,114,408","182,298,579",13.90,14.00,13.85,13.85, 0.00,"3,853"
108/05/13,"15,012,773","208,022,807",13.90,13.95,13.80,13.85, 0.00,"4,738"
108/05/14,"24,685,871","339,631,164",13.80,13.80,13.70,13.75,-0.10,"7,589"
108/05/15,"14,047,304","193,704,391",13.80,13.85,13.75,13.75, 0.00,"3,876"
108/05/16,"16,532,679","227,140,384",13.75,13.80,13.70,13.70,-0.05,"5,642"
108/05/17,"11,552,124","158,858,601",13.75,13.80,13.70,13.75,+0.05,"3,302"
108/05/20,"11,132,175","153,570,401",13.75,13.85,13.70,13.85,+0.10,"2,546"
108/05/21,"21,024,681","293,417,584",13.90,14.00,13.85,14.00,+0.15,"4,387"
108/05/22,"17,405,010","241,955,153",14.00,14.00,13.85,13.85,-0.15,"2,801"
108/05/23,"9,705,925","134,744,836",13.85,13.95,13.85,13.95,+0.10,"2,963"
108/05/24,"18,522,684","258,582,576",13.95,14.00,13.85,14.00,+0.05,"2,972"
108/05/27,"18,962,001","266,441,066",14.00,14.10,13.95,14.10,+0.10,"4,494"
108/05/28,"89,745,048","1,249,415,085",14.10,14.10,13.90,13.90,-0.20,"4,436"
108/05/29,"8,802,398","122,756,478",13.95,14.00,13.90,13.90, 0.00,"2,812"
108/05/30,"12,220,296","170,660,944",13.95,14.00,13.90,14.00,+0.10,"2,783"
108/05/31,"23,002,089","323,483,300",14.05,14.10,13.95,14.10,+0.10,"3,941"
