0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
108/01/30,"22,967,393","311,113,268",13.50,13.60,13.45,13.60,+0.10,"4,103",,,,,,,,,,,,,,,,,,,,,,,,
108/02/11,"19,548,924","266,465,211",13.60,13.65,13.60,13.65,+0.05,"4,960",,,,,,,,,,,,,,,,,,,,,,,,
108/02/12,"14,182,516","193,299,075",13.65,13.70,13.55,13.65, 0.00,"4,070",,,,,,,,,,,,,,,,,,,,,,,,
108/02/13,"13,126,750","178,871,442",13.65,13.70,13.60,13.60,-0.05,"4,712",,,,,,,,,,,,,,,,,,,,,,,,
108/02/14,"12,643,049","172,532,775",13.60,13.70,13.60,13.65,+0.05,"2,962",,,,,,,,,,,,,,,,,,,,,,,,
108/02/15,"16,058,317","219,881,590",13.70,13.75,13.65,13.70,+0.05,"4,441",,,,,,,,,,,,,,,,,,,,,,,,
108/02/18,"15,071,610","207,528,593",13.75,13.80,13.70,13.80,+0.10,"3,662",,,,,,,,,,,,,,,,,,,,,,,,
108/02/19,"12,815,202","176,772,114",13.80,13.85,13.75,13.80, 0.00,"3,263",,,,,,,,,,,,,,,,,,,,,,,,
108/02/20,"20,542,789","285,060,090",13.85,13.95,13.80,13.90,+0.10,"4,665",,,,,,,,,,,,,,,,,,,,,,,,
108/02/21,"15,933,062","220,926,082",13.90,13.90,13.80,13.90, 0.00,"3,541",,,,,,,,,,,,,,,,,,,,,,,,
108/02/22,"15,793,382","219,878,498",13.90,13.95,13.85,13.95,+0.05,"3,159",,,,,,,,,,,,,,,,,,,,,,,,
108/02/25,"10,419,554","145,212,106",13.95,14.00,13.90,14.00,+0.05,"3,195",,,,,,,,,,,,,,,,,,,,,,,,
108/02/26,"17,803,740","248,464,110",14.00,14.00,13.90,13.95,-0.05,"3,708",,,,,,,,,,,,,,,,,,,,,,,,
108/02/27,"22,598,000","315,044,800",13.95,14.00,13.90,13.95, 0.00,"4,389",,,,,,,,,,,,,,,,,,,,,,,,
108/03/04,"25,720,953","356,959,342",13.85,14.00,13.80,13.95, 0.00,"5,562",,,,,,,,,,,,,,,,,,,,,,,,
108/03/05,"6,879,772","95,648,658",13.90,13.95,13.85,13.90,-0.05,"2,434",,,,,,,,,,,,,,,,,,,,,,,,
108/03/06,"8,666,986","120,946,872",13.90,14.00,13.90,14.00,+0.10,"2,689",,,,,,,,,,,,,,,,,,,,,,,,
108/03/07,"12,622,216","176,081,224",14.00,14.00,13.90,13.95,-0.05,"3,184",,,,,,,,,,,,,,,,,,,,,,,,
108/03/08,"15,404,553","213,580,625",13.90,13.90,13.85,13.85,-0.10,"5,449",,,,,,,,,,,,,,,,,,,,,,,,
108/03/11,"74,351,050","1,018,704,158",13.85,13.85,13.65,13.65,-0.20,"20,183",,,,,,,,,,,,,,,,,,,,,,,,
108/03/12,"26,445,255","363,375,851",13.70,13.80,13.70,13.75,+0.10,"5,891",,,,,,,,,,,,,,,,,,,,,,,,
108/03/13,"17,561,279","241,861,679",13.75,13.85,13.75,13.75, 0.00,"4,790",,,,,,,,,,,,,,,,,,,,,,,,
108/03/14,"12,056,917","165,916,634",13.75,13.80,13.75,13.75, 0.00,"2,784",,,,,,,,,,,,,,,,,,,,,,,,
108/03/15,"18,557,765","256,571,743",13.75,13.85,13.75,13.85,+0.10,"2,865",,,,,,,,,,,,,,,,,,,,,,,,
108/03/18,"14,749,864","204,938,899",13.90,13.95,13.85,13.90,+0.05,"3,577",,,,,,,,,,,,,,,,,,,,,,,,
108/03/19,"22,997,812","321,954,218",13.90,14.05,13.90,14.00,+0.10,"4,474",,,,,,,,,,,,,,,,,,,,,,,,
108/03/20,"23,055,905","322,283,187",14.05,14.05,13.90,14.00, 0.00,"3,943",,,,,,,,,,,,,,,,,,,,,,,,
108/03/21,"11,764,480","164,588,170",14.00,14.05,13.95,14.00, 0.00,"2,575",,,,,,,,,,,,,,,,,,,,,,,,
108/03/22,"37,906,716","527,400,104",14.05,14.10,13.80,13.85,-0.15,"7,673",,,,,,,,,,,,,,,,,,,,,,,,
108/03/25,"25,203,026","347,771,516",13.75,13.85,13.75,13.85, 0.00,"5,648",,,,,,,,,,,,,,,,,,,,,,,,
108/03/26,"18,734,263","261,911,182",13.90,14.00,13.85,14.00,+0.15,"3,272",,,,,,,,,,,,,,,,,,,,,,,,
108/03/27,"15,355,707","214,584,848",14.05,14.05,13.90,13.95,-0.05,"3,701",,,,,,,,,,,,,,,,,,,,,,,,
108/03/28,"9,234,935","128,820,548",13.95,14.00,13.90,13.95, 0.00,"1,851",,,,,,,,,,,,,,,,,,,,,,,,
108/03/29,"24,524,938","344,005,617",14.00,14.05,13.95,14.05,+0.10,"4,446",,,,,,,,,,,,,,,,,,,,,,,,
108/04/01,"16,837,401","236,222,764",14.10,14.10,14.00,14.00,-0.05,"3,933",,,,,,,,,,,,,,,,,,,,,,,,
108/04/02,"9,222,395","129,793,621",14.05,14.10,14.00,14.10,+0.10,"3,124",,,,,,,,,,,,,,,,,,,,,,,,
108/04/03,"11,204,905","157,960,434",14.10,14.15,14.05,14.10, 0.00,"2,660",,,,,,,,,,,,,,,,,,,,,,,,
108/04/08,"13,572,575","191,980,228",14.10,14.20,14.10,14.15,+0.05,"3,522",,,,,,,,,,,,,,,,,,,,,,,,
108/04/09,"9,300,278","132,094,146",14.20,14.25,14.10,14.25,+0.10,"2,451",,,,,,,,,,,,,,,,,,,,,,,,
108/04/10,"18,341,867","260,735,423",14.25,14.25,14.15,14.25, 0.00,"4,392",,,,,,,,,,,,,,,,,,,,,,,,
108/04/11,"15,543,610","221,742,867",14.25,14.30,14.20,14.25, 0.00,"2,961",,,,,,,,,,,,,,,,,,,,,,,,
108/04/12,"18,690,038","265,589,628",14.25,14.30,14.15,14.20,-0.05,"3,129",,,,,,,,,,,,,,,,,,,,,,,,
108/04/15,"14,632,216","208,476,852",14.25,14.30,14.20,14.20, 0.00,"3,071",,,,,,,,,,,,,,,,,,,,,,,,
108/04/16,"10,745,388","152,675,320",14.20,14.25,14.20,14.20, 0.00,"2,914",,,,,,,,,,,,,,,,,,,,,,,,
108/04/17,"9,831,551","139,715,735",14.20,14.25,14.20,14.20, 0.00,"3,740",,,,,,,,,,,,,,,,,,,,,,,,
108/04/18,"17,506,197","248,404,161",14.20,14.25,14.10,14.20, 0.00,"3,177",,,,,,,,,,,,,,,,,,,,,,,,
108/04/19,"6,357,627","90,375,211",14.20,14.25,14.20,14.25,+0.05,"1,765",,,,,,,,,,,,,,,,,,,,,,,,
108/04/22,"28,146,767","398,480,678",14.25,14.30,14.05,14.10,-0.15,"5,066",,,,,,,,,,,,,,,,,,,,,,,,
108/04/23,"11,998,622","169,847,103",14.10,14.20,14.10,14.15,+0.05,"2,483",,,,,,,,,,,,,,,,,,,,,,,,
108/04/24,"14,971,178","212,498,202",14.20,14.30,14.10,14.20,+0.05,"2,922",,,,,,,,,,,,,,,,,,,,,,,,
108/04/25,"22,580,767","319,060,585",14.20,14.25,14.05,14.10,-0.10,"4,236",,,,,,,,,,,,,,,,,,,,,,,,
108/04/26,"51,836,144","718,332,625",13.85,13.90,13.80,13.90,-0.20,"13,331",,,,,,,,,,,,,,,,,,,,,,,,
108/04/29,"26,630,192","371,260,988",13.85,14.00,13.85,14.00,+0.10,"5,339",,,,,,,,,,,,,,,,,,,,,,,,
108/04/30,"14,575,847","204,418,073",14.05,14.10,14.00,14.00, 0.00,"3,655",,,,,,,,,,,,,,,,,,,,,,,,
108/05/02,"21,413,215","300,670,893",14.00,14.10,14.00,14.10,+0.10,"5,774",,,,,,,,,,,,,,,,,,,,,,,,
108/05/03,"23,817,896","333,337,966",14.10,14.10,13.95,14.00,-0.10,"5,518",,,,,,,,,,,,,,,,,,,,,,,,
108/05/06,"29,361,032","407,826,924",14.00,14.00,13.80,13.85,-0.15,"8,684",,,,,,,,,,,,,,,,,,,,,,,,
108/05/07,"10,325,609","143,786,976",13.85,13.95,13.85,13.95,+0.10,"2,941",,,,,,,,,,,,,,,,,,,,,,,,
108/05/08,"15,480,454","216,072,593",13.90,14.05,13.85,14.05,+0.10,"4,639",,,,,,,,,,,,,,,,,,,,,,,,
108/05/09,"21,875,265","304,654,600",14.00,14.05,13.85,13.85,-0.20,"5,928",,,,,,,,,,,,,,,,,,,,,,,,
108/05/10,"13,114,408","182,298,579",13.90,14.00,13.85,13.85, 0.00,"3,853",,,,,,,,,,,,,,,,,,,,,,,,
108/05/13,"15,012,773","208,022,807",13.90,13.95,13.80,13.85, 0.00,"4,738",,,,,,,,,,,,,,,,,,,,,,,,
108/05/14,"24,685,871","339,631,164",13.80,13.80,13.70,13.75,-0.10,"7,589",,,,,,,,,,,,,,,,,,,,,,,,
108/05/15,"14,047,304","193,704,391",13.80,13.85,13.75,13.75, 0.00,"3,876",,,,,,,,,,,,,,,,,,,,,,,,
108/05/16,"16,532,679","227,140,384",13.75,13.80,13.70,13.70,-0.05,"5,642",,,,,,,,,,,,,,,,,,,,,,,,
108/05/17,"11,552,124","158,858,601",13.75,13.80,13.70,13.75,+0.05,"3,302",,,,,,,,,,,,,,,,,,,,,,,,
108/05/20,"11,132,175","153,570,401",13.75,13.85,13.70,13.85,+0.10,"2,546",,,,,,,,,,,,,,,,,,,,,,,,
108/05/21,"21,024,681","293,417,584",13.90,14.00,13.85,14.00,+0.15,"4,387",,,,,,,,,,,,,,,,,,,,,,,,
108/05/22,"17,405,010","241,955,153",14.00,14.00,13.85,13.85,-0.15,"2,801",,,,,,,,,,,,,,,,,,,,,,,,
108/05/23,"9,705,925","134,744,836",13.85,13.95,13.85,13.95,+0.10,"2,963",,,,,,,,,,,,,,,,,,,,,,,,
108/05/24,"18,522,684","258,582,576",13.95,14.00,13.85,14.00,+0.05,"2,972",,,,,,,,,,,,,,,,,,,,,,,,
108/05/27,"18,962,001","266,441,066",14.00,14.10,13.95,14.10,+0.10,"4,494",,,,,,,,,,,,,,,,,,,,,,,,
108/05/28,"89,745,048","1,249,415,085",14.10,14.10,13.90,13.90,-0.20,"4,436",,,,,,,,,,,,,,,,,,,,,,,,
108/05/29,"8,802,398","122,756,478",13.95,14.00,13.90,13.90, 0.00,"2,812",,,,,,,,,,,,,,,,,,,,,,,,
108/05/30,"12,220,296","170,660,944",13.95,14.00,13.90,14.00,+0.10,"2,783",,,,,,,,,,,,,,,,,,,,,,,,
108/05/31,"23,002,089","323,483,300",14.05,14.10,13.95,14.10,+0.10,"3,941",,,,,,,,,,,,,,,,,,,,,,,,
108/06/03,"15,895,860","223,588,303",14.05,14.15,13.95,14.15,+0.05,"3,224",,,,,,,,,,,,,,,,,,,,,,,,
108/06/04,"12,464,052","176,331,977",14.15,14.20,14.10,14.10,-0.05,"2,936",,,,,,,,,,,,,,,,,,,,,,,,
108/06/05,"14,642,730","207,324,283",14.15,14.20,14.10,14.20,+0.10,"3,312",,,,,,,,,,,,,,,,,,,,,,,,
108/06/06,"28,504,649","406,295,060",14.20,14.30,14.15,14.25,+0.05,"4,385",,,,,,,,,,,,,,,,,,,,,,,,
108/06/10,"26,411,890","377,377,973",14.25,14.35,14.25,14.30,+0.05,"5,993",,,,,,,,,,,,,,,,,,,,,,,,
108/06/11,"21,220,440","302,244,614",14.35,14.35,14.15,14.15,-0.15,"4,670",,,,,,,,,,,,,,,,,,,,,,,,
108/06/12,"22,118,774","310,506,295",14.15,14.20,13.95,14.05,-0.10,"4,653",,,,,,,,,,,,,,,,,,,,,,,,
108/06/13,"19,295,958","270,651,014",14.00,14.10,14.00,14.05, 0.00,"3,638",,,,,,,,,,,,,,,,,,,,,,,,
108/06/14,"12,130,867","171,378,499",14.05,14.20,14.05,14.15,+0.10,"2,895",,,,,,,,,,,,,,,,,,,,,,,,
108/06/17,"11,120,187","157,398,632",14.20,14.20,14.10,14.15, 0.00,"2,574",,,,,,,,,,,,,,,,,,,,,,,,
108/06/18,"13,786,696","195,123,520",14.20,14.20,14.10,14.20,+0.05,"2,714",,,,,,,,,,,,,,,,,,,,,,,,
108/06/19,"19,409,850","276,454,594",14.20,14.30,14.20,14.30,+0.10,"4,794",,,,,,,,,,,,,,,,,,,,,,,,
108/06/20,"16,497,123","236,335,357",14.35,14.35,14.25,14.35,+0.05,"3,788",,,,,,,,,,,,,,,,,,,,,,,,
108/06/21,"20,760,866","297,682,508",14.35,14.35,14.30,14.35, 0.00,"5,085",,,,,,,,,,,,,,,,,,,,,,,,
108/06/24,"9,532,789","136,536,528",14.35,14.35,14.25,14.35, 0.00,"2,708",,,,,,,,,,,,,,,,,,,,,,,,
108/06/25,"10,847,412","155,440,690",14.35,14.35,14.30,14.35, 0.00,"3,795",,,,,,,,,,,,,,,,,,,,,,,,
108/06/26,"11,707,917","167,441,707",14.30,14.35,14.25,14.25,-0.10,"3,106",,,,,,,,,,,,,,,,,,,,,,,,
108/06/27,"18,160,075","260,080,403",14.30,14.35,14.30,14.30,+0.05,"3,337",,,,,,,,,,,,,,,,,,,,,,,,
108/06/28,"10,836,497","155,292,636",14.35,14.40,14.30,14.30, 0.00,"2,681",,,,,,,,,,,,,,,,,,,,,,,,
108/07/01,"13,764,899","197,355,130",14.35,14.40,14.30,14.30, 0.00,"2,985",,,,,,,,,,,,,,,,,,,,,,,,
108/07/02,"9,709,956","138,663,562",14.30,14.35,14.25,14.25,-0.05,"2,368",,,,,,,,,,,,,,,,,,,,,,,,
108/07/03,"10,283,818","146,604,376",14.30,14.30,14.20,14.30,+0.05,"2,554",,,,,,,,,,,,,,,,,,,,,,,,
108/07/04,"8,732,273","124,725,240",14.30,14.35,14.25,14.35,+0.05,"1,760",,,,,,,,,,,,,,,,,,,,,,,,
108/07/05,"5,146,082","73,721,956",14.35,14.35,14.30,14.30,-0.05,"1,370",,,,,,,,,,,,,,,,,,,,,,,,
108/07/08,"13,468,492","193,677,952",14.35,14.40,14.30,14.40,+0.10,"3,352",,,,,,,,,,,,,,,,,,,,,,,,
108/07/09,"11,732,586","168,451,662",14.40,14.40,14.30,14.40, 0.00,"2,598",,,,,,,,,,,,,,,,,,,,,,,,
108/07/10,"9,869,903","141,858,763",14.40,14.40,14.35,14.40, 0.00,"3,072",,,,,,,,,,,,,,,,,,,,,,,,
108/07/11,"13,685,927","198,043,581",14.40,14.50,14.35,14.50,+0.10,"3,106",,,,,,,,,,,,,,,,,,,,,,,,
108/07/12,"20,358,293","297,382,033",14.55,14.70,14.50,14.55,+0.05,"3,291",,,,,,,,,,,,,,,,,,,,,,,,
108/07/15,"12,850,813","186,983,333",14.60,14.60,14.50,14.55, 0.00,"2,374",,,,,,,,,,,,,,,,,,,,,,,,
108/07/16,"11,501,345","167,529,117",14.55,14.60,14.50,14.55, 0.00,"2,558",,,,,,,,,,,,,,,,,,,,,,,,
108/07/17,"22,775,626","332,697,079",14.60,14.65,14.55,14.65,+0.10,"5,203",,,,,,,,,,,,,,,,,,,,,,,,
108/07/18,"17,036,349","250,121,345",14.65,14.75,14.60,14.65, 0.00,"3,834",,,,,,,,,,,,,,,,,,,,,,,,
108/07/19,"14,776,610","217,401,110",14.70,14.75,14.70,14.70,+0.05,"3,282",,,,,,,,,,,,,,,,,,,,,,,,
108/07/22,"12,643,103","186,495,099",14.75,14.80,14.70,14.75,+0.05,"2,718",,,,,,,,,,,,,,,,,,,,,,,,
108/07/23,"18,727,946","275,918,947",14.80,14.80,14.60,14.65,-0.10,"4,685",,,,,,,,,,,,,,,,,,,,,,,,
108/07/24,"15,069,519","220,838,480",14.70,14.75,14.55,14.55,-0.10,"3,622",,,,,,,,,,,,,,,,,,,,,,,,
108/07/25,"16,623,220","243,936,482",14.60,14.75,14.55,14.75,+0.20,"3,412",,,,,,,,,,,,,,,,,,,,,,,,
108/07/26,"10,889,242","159,904,243",14.75,14.75,14.65,14.65,-0.10,"3,127",,,,,,,,,,,,,,,,,,,,,,,,
108/07/29,"9,813,541","143,830,234",14.65,14.70,14.60,14.70,+0.05,"2,200",,,,,,,,,,,,,,,,,,,,,,,,
108/07/30,"16,158,520","236,951,347",14.70,14.75,14.60,14.60,-0.10,"2,500",,,,,,,,,,,,,,,,,,,,,,,,
108/07/31,"29,937,099","438,058,895",14.65,14.70,14.60,14.60, 0.00,"4,338",,,,,,,,,,,,,,,,,,,,,,,,
108/08/01,"21,820,100","316,836,724",14.55,14.60,14.45,14.45,-0.15,"5,196",,,,,,,,,,,,,,,,,,,,,,,,
108/08/02,"25,789,508","368,668,036",14.35,14.40,14.25,14.25,-0.20,"5,988",,,,,,,,,,,,,,,,,,,,,,,,
108/08/05,"17,842,879","255,950,026",14.25,14.40,14.25,14.35,+0.10,"4,629",,,,,,,,,,,,,,,,,,,,,,,,
108/08/06,"23,172,816","329,510,730",14.15,14.35,14.05,14.35, 0.00,"4,756",,,,,,,,,,,,,,,,,,,,,,,,
108/08/07,"19,283,573","277,036,706",14.35,14.35,14.25,14.35, 0.00,"4,523",,,,,,,,,,,,,,,,,,,,,,,,
108/08/08,"39,433,596","564,207,322",14.30,14.35,14.25,14.30,-0.05,"4,946",,,,,,,,,,,,,,,,,,,,,,,,
108/08/12,"37,193,352","508,720,907",13.60,13.80,13.55,13.70,X0.00,"9,035",,,,,,,,,,,,,,,,,,,,,,,,
108/08/13,"16,660,744","227,340,938",13.70,13.70,13.60,13.60,-0.10,"5,431",,,,,,,,,,,,,,,,,,,,,,,,
108/08/14,"12,943,430","177,012,966",13.65,13.70,13.60,13.65,+0.05,"4,151",,,,,,,,,,,,,,,,,,,,,,,,
108/08/15,"16,175,326","218,569,014",13.50,13.55,13.45,13.50,-0.15,"3,867",,,,,,,,,,,,,,,,,,,,,,,,
108/08/16,"20,239,581","275,135,854",13.50,13.70,13.50,13.55,+0.05,"4,185",,,,,,,,,,,,,,,,,,,,,,,,
108/08/19,"11,164,677","152,503,300",13.65,13.70,13.60,13.65,+0.10,"3,855",,,,,,,,,,,,,,,,,,,,,,,,
108/08/20,"9,444,711","129,122,083",13.65,13.70,13.65,13.65, 0.00,"3,098",,,,,,,,,,,,,,,,,,,,,,,,
108/08/21,"12,423,512","169,585,234",13.65,13.70,13.60,13.65, 0.00,"4,228",,,,,,,,,,,,,,,,,,,,,,,,
108/08/22,"9,455,469","129,337,479",13.70,13.70,13.65,13.70,+0.05,"2,530",,,,,,,,,,,,,,,,,,,,,,,,
108/08/23,"9,565,549","130,489,760",13.65,13.70,13.60,13.65,-0.05,"2,593",,,,,,,,,,,,,,,,,,,,,,,,
108/08/26,"13,571,843","183,606,984",13.55,13.60,13.50,13.50,-0.15,"5,147",,,,,,,,,,,,,,,,,,,,,,,,
108/08/27,"29,615,447","399,045,148",13.55,13.60,13.45,13.45,-0.05,"4,069",,,,,,,,,,,,,,,,,,,,,,,,
108/08/28,"8,916,451","120,495,340",13.45,13.55,13.45,13.50,+0.05,"3,317",,,,,,,,,,,,,,,,,,,,,,,,
108/08/29,"48,867,467","654,702,564",13.55,13.55,13.30,13.35,-0.15,"8,733",,,,,,,,,,,,,,,,,,,,,,,,
108/08/30,"46,746,248","624,874,716",13.45,13.45,13.30,13.40,+0.05,"6,944",,,,,,,,,,,,,,,,,,,,,,,,
108/09/02,"22,111,698","297,546,917",13.45,13.50,13.40,13.45,+0.05,"3,846",,,,,,,,,,,,,,,,,,,,,,,,
108/09/03,"16,092,936","217,422,378",13.50,13.55,13.45,13.45, 0.00,"3,974",,,,,,,,,,,,,,,,,,,,,,,,
108/09/04,"11,277,795","152,170,009",13.50,13.55,13.45,13.50,+0.05,"2,649",,,,,,,,,,,,,,,,,,,,,,,,
108/09/05,"15,511,078","211,035,450",13.60,13.65,13.55,13.65,+0.15,"2,859",,,,,,,,,,,,,,,,,,,,,,,,
108/09/06,"19,236,867","263,726,103",13.70,13.75,13.65,13.75,+0.10,"3,301",,,,,,,,,,,,,,,,,,,,,,,,
108/09/09,"16,721,638","230,811,779",13.75,13.85,13.75,13.80,+0.05,"3,947",,,,,,,,,,,,,,,,,,,,,,,,
108/09/10,"24,193,144","335,325,416",13.85,13.90,13.80,13.90,+0.10,"4,404",,,,,,,,,,,,,,,,,,,,,,,,
108/09/11,"15,745,428","218,557,142",13.90,13.95,13.80,13.90, 0.00,"3,855",,,,,,,,,,,,,,,,,,,,,,,,
108/09/12,"18,186,471","252,563,341",13.95,13.95,13.85,13.85,-0.05,"4,187",,,,,,,,,,,,,,,,,,,,,,,,
108/09/16,"17,118,462","237,402,984",13.85,13.90,13.80,13.85, 0.00,"4,326",,,,,,,,,,,,,,,,,,,,,,,,
108/09/17,"20,661,850","287,907,400",13.90,14.00,13.85,14.00,+0.15,"4,664",,,,,,,,,,,,,,,,,,,,,,,,
108/09/18,"20,348,445","286,191,020",14.05,14.10,14.00,14.10,+0.10,"5,052",,,,,,,,,,,,,,,,,,,,,,,,
108/09/19,"15,339,127","215,854,841",14.10,14.15,14.00,14.10, 0.00,"3,644",,,,,,,,,,,,,,,,,,,,,,,,
108/09/20,"24,276,888","342,104,860",14.10,14.15,14.05,14.10, 0.00,"6,298",,,,,,,,,,,,,,,,,,,,,,,,
108/09/23,"10,086,059","141,827,246",14.10,14.10,14.00,14.00,-0.10,"4,000",,,,,,,,,,,,,,,,,,,,,,,,
108/09/24,"11,849,236","165,923,101",14.00,14.05,13.95,14.05,+0.05,"3,459",,,,,,,,,,,,,,,,,,,,,,,,
108/09/25,"13,515,242","188,217,838",14.00,14.00,13.85,13.95,-0.10,"4,613",,,,,,,,,,,,,,,,,,,,,,,,
108/09/26,"9,270,633","129,539,862",14.00,14.00,13.95,13.95, 0.00,"2,292",,,,,,,,,,,,,,,,,,,,,,,,
108/09/27,"9,208,494","128,045,073",13.95,14.00,13.85,13.85,-0.10,"3,054",,,,,,,,,,,,,,,,,,,,,,,,
108/10/01,"13,938,789","194,592,146",13.90,14.05,13.90,14.00,+0.15,"4,237",,,,,,,,,,,,,,,,,,,,,,,,
108/10/02,"11,443,638","159,674,082",13.90,14.00,13.90,13.90,-0.10,"4,737",,,,,,,,,,,,,,,,,,,,,,,,
108/10/03,"10,306,497","142,251,563",13.80,13.85,13.75,13.80,-0.10,"3,524",,,,,,,,,,,,,,,,,,,,,,,,
108/10/04,"9,898,363","136,384,131",13.75,13.85,13.75,13.75,-0.05,"2,753",,,,,,,,,,,,,,,,,,,,,,,,
108/10/07,"9,370,916","129,251,738",13.85,13.85,13.75,13.80,+0.05,"2,365",,,,,,,,,,,,,,,,,,,,,,,,
108/10/08,"8,824,375","122,038,221",13.80,13.90,13.75,13.85,+0.05,"2,924",,,,,,,,,,,,,,,,,,,,,,,,
108/10/09,"10,146,509","139,727,404",13.80,13.85,13.75,13.75,-0.10,"3,485",,,,,,,,,,,,,,,,,,,,,,,,
108/10/14,"9,654,808","133,949,512",13.85,13.90,13.85,13.90,+0.15,"2,599",,,,,,,,,,,,,,,,,,,,,,,,
108/10/15,"7,227,132","100,296,600",13.90,13.95,13.85,13.90, 0.00,"2,583",,,,,,,,,,,,,,,,,,,,,,,,
108/10/16,"7,407,880","103,134,350",13.95,13.95,13.85,13.95,+0.05,"2,252",,,,,,,,,,,,,,,,,,,,,,,,
108/10/17,"6,810,671","94,911,463",13.90,14.00,13.90,13.95, 0.00,"2,313",,,,,,,,,,,,,,,,,,,,,,,,
108/10/18,"6,516,370","90,766,635",13.95,13.95,13.90,13.95, 0.00,"1,932",,,,,,,,,,,,,,,,,,,,,,,,
108/10/21,"7,228,509","100,600,532",13.95,13.95,13.85,13.95, 0.00,"1,908",,,,,,,,,,,,,,,,,,,,,,,,
108/10/22,"9,739,007","136,046,498",13.95,14.00,13.90,14.00,+0.05,"2,913",,,,,,,,,,,,,,,,,,,,,,,,
108/10/23,"6,103,901","85,058,358",14.00,14.00,13.90,13.95,-0.05,"1,989",,,,,,,,,,,,,,,,,,,,,,,,
108/10/24,"8,798,368","122,931,502",13.95,14.00,13.90,14.00,+0.05,"2,247",,,,,,,,,,,,,,,,,,,,,,,,
108/10/25,"8,317,226","116,093,064",14.00,14.00,13.90,14.00, 0.00,"2,371",,,,,,,,,,,,,,,,,,,,,,,,
108/10/28,"6,694,765","93,605,360",14.00,14.00,13.95,14.00, 0.00,"2,088",,,,,,,,,,,,,,,,,,,,,,,,
108/10/29,"25,153,042","353,519,689",14.00,14.10,13.95,14.05,+0.05,"4,348",,,,,,,,,,,,,,,,,,,,,,,,
108/10/30,"14,979,787","210,877,715",14.05,14.10,14.00,14.10,+0.05,"3,452",,,,,,,,,,,,,,,,,,,,,,,,
108/10/31,"38,648,799","548,267,554",14.10,14.30,14.05,14.15,+0.05,"6,725",,,,,,,,,,,,,,,,,,,,,,,,
